Freq[Hz]     dBSPL  Phase[Deg]
11006.7     77.692   -90.845
11166.8     77.847   -91.262
11329.2     78.082   -91.243
11494.0     78.493   -90.887
11661.2     79.198   -90.652
11830.8     80.224   -91.431
12002.9     81.437   -94.255
12177.5     82.592   -99.830
12354.6     83.470  -108.167
12534.3     83.952  -118.498
12716.6     83.990  -129.541
12901.6     83.612  -139.965
13089.2     82.927  -148.879
13279.6     82.050  -155.938
13472.8     81.098  -161.136
13668.8     80.188  -164.730
13867.6     79.411  -167.206
14069.3     78.815  -169.133
14273.9     78.413  -171.090
14481.5     78.164  -173.602
14692.2     77.966  -176.947
14905.9     77.726   178.922
15122.7     77.385   174.268
15342.7     76.908   169.456
15565.8     76.299   164.849
15792.2     75.585   160.697
16021.9     74.799   157.120
16255.0     73.978   154.138
16491.4     73.160   151.670
16731.3     72.357   149.592
16974.7     71.584   147.760
17221.6     70.844   145.964
17472.1     70.099   144.076
17726.2     69.310   142.168
17984.0     68.405   140.631
18245.6     67.359   140.164
18511.0     66.259   141.205
18780.2     65.221   143.634
19053.4     64.394   146.961
19330.5     63.909   150.307
19611.7     63.676   152.828
19897.0     63.540   154.279
20186.4     63.391   154.843
20480.0     63.171   154.884
20777.9     62.885   154.766
21080.1     62.573   154.643
21386.7     62.247   154.539
21697.8     61.921   154.441
22013.4     61.595   154.326
22333.6     61.270   154.192
22658.4     60.944   154.038
22988.0     60.618   153.864
23322.4     60.292   153.674
23661.6     59.966   153.469
24005.8     59.641   153.251
24355.0     59.315   153.021
24709.2     58.989   152.782
25068.6     58.663   152.534
25433.2     58.337   152.280
25803.2     58.012   152.019
26178.5     57.686   151.754
26559.3     57.360   151.484
26945.6     57.034   151.211
27337.5     56.708   150.934
27735.2     56.382   150.656
28138.6     56.057   150.376
28547.9     55.731   150.095
28963.1     55.405   149.813
29384.4     55.079   149.531
29811.8     54.753   149.249
30245.4     54.428   148.967
30685.3     54.102   148.686
31131.7     53.776   148.406
31584.5     53.450   148.126
32043.9     53.124   147.848
32510.0     52.799   147.571
32982.8     52.473   147.295
33462.6     52.147   147.022
33949.3     51.821   146.749
34443.1     51.495   146.479
34944.1     51.170   146.210
35452.4     50.844   145.943
35968.0     50.518   145.679
36491.2     50.192   145.415
37022.0     49.866   145.153
37560.5     49.541   144.887
38106.8     49.245   144.645
38661.1     48.976   144.411
39223.4     48.774   144.232
39793.9     48.619   144.093
