Freq[Hz]     dBSPL  Phase[Deg]
8127.49     65.429  -156.487
8245.71     64.665  -159.710
8365.65     63.776  -162.418
8487.33     62.783  -164.390
8610.78     61.723  -165.497
8736.03     60.621  -165.679
8863.09     59.524  -164.945
8992.01     58.471  -163.409
9122.80     57.499  -161.263
9255.50     56.623  -158.721
9390.12     55.848  -156.004
9526.70     55.154  -153.304
9665.27     54.502  -150.688
9805.86     53.861  -148.101
9948.49     53.198  -145.371
10093.2     52.498  -142.213
10240.0     51.796  -138.389
10388.9     51.154  -133.873
10540.1     50.639  -128.877
10693.4     50.287  -123.742
10848.9     50.098  -118.829
11006.7     50.024  -114.410
11166.8     50.002  -110.543
11329.2     50.000  -107.144
11494.0     50.000  -104.105
11661.2     50.000  -101.335
11830.8     50.000   -98.777
12002.9     50.000   -96.397
12177.5     50.000   -94.168
12354.6     50.000   -92.070
12534.3     50.000   -90.089
12716.6     50.000   -88.212
12901.6     50.000   -86.428
13089.2     50.000   -84.730
13279.6     50.000   -83.109
13472.8     50.000   -81.560
13668.8     50.000   -80.078
13867.6     50.000   -78.657
14069.3     50.000   -77.293
14273.9     50.000   -75.983
14481.5     50.000   -74.724
14692.2     50.000   -73.513
14905.9     50.000   -72.347
15122.7     50.000   -71.223
15342.7     50.000   -70.141
15565.8     50.000   -69.098
15792.2     50.000   -68.093
16021.9     50.000   -67.124
16255.0     50.000   -66.190
16491.4     50.000   -65.290
16731.3     50.000   -64.423
16974.7     50.000   -63.589
17221.6     50.000   -62.787
17472.1     50.000   -62.017
17726.2     50.000   -61.280
17984.0     50.000   -60.576
18245.6     50.000   -59.908
18511.0     49.999   -59.280
18780.2     49.997   -58.695
19053.4     49.991   -58.150
19330.5     49.979   -57.634
19611.7     49.962   -57.136
19897.0     49.939   -56.644
20186.4     49.912   -56.146
20480.0     49.884   -55.642
20777.9     49.855   -55.135
21080.1     49.826   -54.627
21386.7     49.797   -54.122
21697.8     49.768   -53.622
22013.4     49.739   -53.128
22333.6     49.710   -52.639
22658.4     49.681   -52.157
22988.0     49.652   -51.682
23322.4     49.623   -51.214
23661.6     49.594   -50.753
24005.8     49.565   -50.298
24355.0     49.535   -49.851
24709.2     49.506   -49.411
25068.6     49.477   -48.977
25433.2     49.448   -48.551
25803.2     49.419   -48.131
26178.5     49.390   -47.718
26559.3     49.361   -47.312
26945.6     49.332   -46.912
27337.5     49.303   -46.519
27735.2     49.274   -46.132
28138.6     49.245   -45.751
28547.9     49.216   -45.377
28963.1     49.187   -45.008
29384.4     49.158   -44.646
29811.8     49.129   -44.289
30245.4     49.100   -43.938
30685.3     49.071   -43.593
31131.7     49.042   -43.253
31584.5     49.013   -42.919
32043.9     48.984   -42.590
32510.0     48.955   -42.266
32982.8     48.926   -41.947
33462.6     48.897   -41.634
33949.3     48.868   -41.325
34443.1     48.838   -41.021
34944.1     48.809   -40.723
35452.4     48.780   -40.429
35968.0     48.751   -40.139
36491.2     48.722   -39.854
37022.0     48.693   -39.574
37560.5     48.664   -39.299
38106.8     48.638   -39.053
38661.1     48.614   -38.836
39223.4     48.597   -38.676
39793.9     48.583   -38.554
