Freq[Hz]  Imp[Ohm]  Phase[Deg]
7561.35     66.375    52.853
7671.33     67.026    52.807
7782.91     67.685    52.761
7896.12     68.360    52.710
8010.97     69.032    52.656
8127.49     69.713    52.604
8245.71     70.421    52.547
8365.65     71.137    52.481
8487.33     71.867    52.404
8610.78     72.606    52.311
8736.03     73.331    52.207
8863.09     74.049    52.102
8992.01     74.773    51.994
9122.80     75.490    51.888
9255.50     76.232    51.781
9390.12     76.985    51.662
9526.70     77.736    51.531
9665.27     78.485    51.388
9805.86     79.215    51.238
9948.49     79.925    51.089
10093.2     80.630    50.948
10240.0     81.335    50.815
10388.9     82.061    50.686
10540.1     82.802    50.550
10693.4     83.546    50.406
10848.9     84.293    50.250
11006.7     85.027    50.085
11166.8     85.744    49.912
11329.2     86.436    49.739
11494.0     87.107    49.570
11661.2     87.764    49.409
11830.8     88.410    49.254
12002.9     89.028    49.109
12177.5     89.635    48.982
12354.6     90.229    48.873
12534.3     90.818    48.790
12716.6     91.411    48.738
12901.6     92.058    48.716
13089.2     92.769    48.707
13279.6     93.549    48.697
13472.8     94.393    48.672
13668.8     95.292    48.620
13867.6     96.203    48.535
14069.3     97.119    48.419
14273.9     98.004    48.277
14481.5     98.851    48.123
14692.2     99.659    47.968
14905.9    100.440    47.818
15122.7    101.203    47.680
15342.7    101.958    47.556
15565.8    102.720    47.446
15792.2    103.502    47.346
16021.9    104.310    47.254
16255.0    105.156    47.163
16491.4    106.041    47.062
16731.3    106.949    46.944
16974.7    107.854    46.807
17221.6    108.736    46.658
17472.1    109.600    46.505
17726.2    110.444    46.350
17984.0    111.278    46.200
18245.6    112.112    46.051
18511.0    112.947    45.902
18780.2    113.774    45.753
19053.4    114.589    45.605
19330.5    115.399    45.462
19611.7    116.209    45.322
19897.0    117.017    45.188
20186.4    117.837    45.056
20480.0    118.662    44.924
20777.9    119.488    44.791
21080.1    120.314    44.659
21386.7    121.139    44.528
21697.8    121.964    44.397
22013.4    122.790    44.267
22333.6    123.615    44.139
22658.4    124.440    44.011
22988.0    125.265    43.884
23322.4    126.090    43.759
23661.6    126.915    43.635
24005.8    127.740    43.512
24355.0    128.565    43.390
24709.2    129.390    43.270
25068.6    130.215    43.151
25433.2    131.041    43.034
25803.2    131.866    42.918
26178.5    132.691    42.803
26559.3    133.516    42.690
26945.6    134.341    42.579
27337.5    135.166    42.469
27735.2    135.991    42.361
28138.6    136.816    42.255
28547.9    137.641    42.150
28963.1    138.467    42.047
29384.4    139.292    41.947
29811.8    140.117    41.848
30245.4    140.942    41.751
30685.3    141.767    41.656
31131.7    142.592    41.564
31584.5    143.417    41.474
32043.9    144.242    41.386
32510.0    145.067    41.300
32982.8    145.893    41.217
33462.6    146.718    41.137
33949.3    147.543    41.059
34443.1    148.368    40.985
34944.1    149.193    40.913
35452.4    150.018    40.845
35968.0    150.843    40.781
36491.2    151.668    40.720
37022.0    152.493    40.665
37560.5    153.319    40.616
38106.8    154.063    40.576
38661.1    154.737    40.547
39223.4    155.238    40.529
39793.9    155.622    40.518
