Freq[Hz]  Imp[Ohm]  Phase[Deg]
4182.82      3.480    -0.248
4243.66      3.480    -0.238
4305.39      3.480    -0.228
4368.01      3.480    -0.218
4431.55      3.480    -0.209
4496.01      3.480    -0.199
4561.40      3.480    -0.190
4627.75      3.480    -0.181
4695.06      3.480    -0.171
4763.35      3.480    -0.162
4832.64      3.480    -0.153
4902.93      3.480    -0.144
4974.24      3.480    -0.135
5046.60      3.480    -0.126
5120.00      3.480    -0.117
5194.47      3.480    -0.108
5270.03      3.480    -0.099
5346.68      3.480    -0.090
5424.45      3.480    -0.082
5503.35      3.480    -0.073
5583.40      3.480    -0.064
5664.61      3.480    -0.055
5747.01      3.480    -0.046
5830.60      3.480    -0.036
5915.41      3.480    -0.027
6001.45      3.480    -0.018
6088.74      3.480    -0.009
6177.30      3.480     0.001
6267.15      3.480     0.010
6358.31      3.480     0.020
6450.80      3.480     0.030
6544.62      3.480     0.040
6639.82      3.480     0.050
6736.40      3.480     0.060
6834.38      3.480     0.070
6933.79      3.480     0.081
7034.64      3.480     0.092
7136.96      3.480     0.103
7240.77      3.480     0.115
7346.09      3.480     0.127
7452.94      3.480     0.139
7561.35      3.480     0.152
7671.33      3.480     0.165
7782.91      3.480     0.179
7896.12      3.480     0.193
8010.97      3.480     0.208
8127.49      3.480     0.224
8245.71      3.480     0.241
8365.65      3.480     0.259
8487.33      3.480     0.278
8610.78      3.480     0.298
8736.03      3.480     0.321
8863.09      3.480     0.345
8992.01      3.480     0.372
9122.80      3.480     0.402
9255.50      3.480     0.437
9390.12      3.480     0.478
9526.70      3.480     0.530
9665.27      3.480     0.595
9805.86      3.482     0.672
9948.49      3.486     0.753
10093.2      3.492     0.819
10240.0      3.498     0.866
10388.9      3.507     0.885
10540.1      3.516     0.862
10693.4      3.523     0.808
10848.9      3.529     0.734
11006.7      3.534     0.644
11166.8      3.536     0.552
11329.2      3.537     0.470
11494.0      3.537     0.399
11661.2      3.537     0.338
11830.8      3.537     0.283
12002.9      3.537     0.230
12177.5      3.537     0.179
12354.6      3.537     0.125
12534.3      3.537     0.065
12716.6      3.536    -0.002
12901.6      3.535    -0.077
13089.2      3.531    -0.147
13279.6      3.525    -0.191
13472.8      3.520    -0.207
13668.8      3.514    -0.194
13867.6      3.510    -0.156
14069.3      3.509    -0.114
14273.9      3.508    -0.079
14481.5      3.508    -0.054
14692.2      3.508    -0.038
14905.9      3.508    -0.025
15122.7      3.508    -0.016
15342.7      3.508    -0.008
15565.8      3.508    -0.002
15792.2      3.508     0.003
16021.9      3.508     0.007
16255.0      3.508     0.010
16491.4      3.508     0.013
16731.3      3.508     0.016
16974.7      3.508     0.018
17221.6      3.508     0.019
17472.1      3.508     0.021
17726.2      3.508     0.022
17984.0      3.508     0.023
18245.6      3.508     0.024
18511.0      3.508     0.025
18780.2      3.508     0.025
19053.4      3.508     0.026
19330.5      3.508     0.026
19611.7      3.508     0.026
19897.0      3.508     0.027
20186.4      3.508     0.027
20480.0      3.508     0.027
20777.9      3.508     0.027
21080.1      3.508     0.027
21386.7      3.508     0.027
21697.8      3.508     0.027
22013.4      3.508     0.027
22333.6      3.508     0.027
22658.4      3.508     0.027
22988.0      3.508     0.026
23322.4      3.508     0.026
23661.6      3.508     0.026
24005.8      3.508     0.026
24355.0      3.508     0.026
24709.2      3.508     0.026
25068.6      3.508     0.025
25433.2      3.508     0.025
25803.2      3.508     0.025
26178.5      3.508     0.025
26559.3      3.508     0.024
26945.6      3.508     0.024
27337.5      3.508     0.024
27735.2      3.508     0.024
28138.6      3.508     0.023
28547.9      3.508     0.023
28963.1      3.508     0.023
29384.4      3.508     0.023
29811.8      3.508     0.022
30245.4      3.508     0.022
30685.3      3.508     0.022
31131.7      3.508     0.021
31584.5      3.508     0.021
32043.9      3.508     0.021
32510.0      3.508     0.021
32982.8      3.508     0.020
33462.6      3.508     0.020
33949.3      3.508     0.020
34443.1      3.508     0.020
34944.1      3.508     0.019
35452.4      3.508     0.019
35968.0      3.508     0.019
36491.2      3.508     0.019
37022.0      3.508     0.018
37560.5      3.508     0.018
38106.8      3.508     0.018
38661.1      3.508     0.018
39223.4      3.508     0.018
39793.9      3.508     0.017
