Freq[Hz]     dBSPL  Phase[Deg]
783.394     90.507    61.191
794.789     90.135    59.123
806.349     89.758    57.855
818.078     89.436    57.278
829.977     89.194    57.197
842.050     89.051    57.418
854.298     89.015    57.741
866.724     89.095    57.918
879.330     89.271    57.676
892.120     89.503    56.801
905.097     89.743    55.149
918.262     89.912    52.766
931.618     89.958    49.960
945.169     89.879    47.096
958.917     89.672    44.552
972.864     89.394    42.599
987.015     89.102    41.251
1001.37     88.833    40.406
1015.94     88.627    39.825
1030.71     88.456    39.290
1045.71     88.290    38.791
1060.92     88.124    38.379
1076.35     87.934    38.197
1092.00     87.764    38.375
1107.89     87.656    38.819
1124.00     87.637    39.295
1140.35     87.695    39.541
1156.94     87.792    39.389
1173.77     87.890    38.797
1190.84     87.947    37.871
1208.16     87.956    36.789
1225.73     87.924    35.677
1243.56     87.851    34.644
1261.65     87.765    33.734
1280.00     87.666    32.936
1298.62     87.574    32.216
1317.51     87.492    31.472
1336.67     87.399    30.652
1356.11     87.281    29.784
1375.84     87.125    28.947
1395.85     86.927    28.250
1416.15     86.703    27.773
1436.75     86.454    27.572
1457.65     86.199    27.693
1478.85     85.947    28.156
1500.36     85.720    28.944
1522.19     85.526    30.013
1544.33     85.391    31.298
1566.79     85.337    32.599
1589.58     85.343    33.704
1612.70     85.376    34.505
1636.16     85.399    35.006
1659.95     85.376    35.343
1684.10     85.294    35.771
1708.60     85.171    36.560
1733.45     85.071    37.799
1758.66     85.042    39.338
1784.24     85.102    40.942
1810.19     85.257    42.325
1836.52     85.463    43.233
1863.24     85.659    43.621
1890.34     85.808    43.616
1917.83     85.883    43.436
1945.73     85.880    43.382
1974.03     85.839    43.687
2002.74     85.810    44.385
2031.87     85.829    45.362
2061.43     85.921    46.400
2091.41     86.071    47.263
2121.83     86.249    47.808
2152.69     86.412    48.036
2184.01     86.538    48.076
2215.77     86.629    48.062
2248.00     86.686    48.115
2280.70     86.732    48.297
2313.87     86.779    48.581
2347.53     86.820    48.956
2381.68     86.861    49.440
2416.32     86.900    50.058
2451.46     86.941    50.897
2487.12     87.030    51.938
2523.30     87.173    53.039
2560.00     87.377    54.054
2597.24     87.632    54.809
2635.01     87.896    55.221
2673.34     88.146    55.342
2712.23     88.371    55.266
2751.68     88.564    55.127
2791.70     88.756    54.965
2832.31     88.930    54.766
2873.50     89.086    54.616
2915.30     89.248    54.531
2957.70     89.415    54.494
3000.72     89.599    54.520
3044.37     89.826    54.514
3088.65     90.091    54.303
3133.58     90.365    53.797
3179.16     90.636    52.961
3225.40     90.874    51.821
3272.31     91.073    50.468
3319.91     91.231    48.968
3368.20     91.348    47.347
3417.19     91.408    45.659
3466.89     91.405    44.007
3517.32     91.336    42.508
3568.48     91.202    41.312
3620.39     91.017    40.566
3673.05     90.802    40.391
3726.47     90.591    40.876
3780.67     90.439    41.958
3835.67     90.370    43.498
3891.46     90.428    45.281
3948.06     90.624    46.946
4005.49     90.909    48.216
4063.75     91.249    48.956
4122.86     91.588    49.157
4182.82     91.907    48.945
4243.66     92.198    48.447
4305.39     92.462    47.772
4368.01     92.711    46.981
4431.55     92.955    46.045
4496.01     93.178    44.947
4561.40     93.380    43.712
4627.75     93.554    42.362
4695.06     93.688    40.982
4763.35     93.803    39.628
4832.64     93.901    38.304
4902.93     93.988    37.011
4974.24     94.075    35.693
5046.60     94.144    34.309
5120.00     94.189    32.878
5194.47     94.199    31.443
5270.03     94.159    30.123
5346.68     94.080    29.079
5424.45     93.984    28.447
5503.35     93.923    28.236
5583.40     93.934    28.298
5664.61     94.054    28.342
5747.01     94.267    27.986
5830.60     94.511    26.983
5915.41     94.729    25.274
6001.45     94.854    23.008
6088.74     94.862    20.501
6177.30     94.759    18.043
6267.15     94.549    15.880
6358.31     94.260    14.199
6450.80     93.906    13.151
6544.62     93.513    12.928
6639.82     93.139    13.644
6736.40     92.866    15.202
6834.38     92.780    17.201
6933.79     92.904    19.052
7034.64     93.187    20.198
7136.96     93.532    20.282
7240.77     93.833    19.256
7346.09     93.990    17.483
7452.94     93.986    15.538
7561.35     93.849    13.893
7671.33     93.614    12.896
7782.91     93.361    12.681
7896.12     93.159    13.133
8010.97     93.055    14.003
8127.49     93.094    14.861
8245.71     93.222    15.281
8365.65     93.374    15.080
8487.33     93.486    14.245
8610.78     93.481    13.021
8736.03     93.316    11.972
8863.09     93.042    11.650
8992.01     92.741    12.289
9122.80     92.503    13.849
9255.50     92.432    15.962
